date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:46	128/128	---MCZ	200	added ('OK')	text/plain	date:Wed,%2026%20Jun%202024%2012:18:44%20GMT	https://adminlte.io/robots.txt		(from )
19:18:46	36041/36041	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2011:29:09%20GMT	https://adminlte.io/themes/v3/	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/index.html	(from )
19:18:47	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22633582ee-e7a9%22	https://adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	(from https://adminlte.io/themes/v3/)
19:18:48	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%2264382bc3-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/Users/ngson/Downloads/adminstudent/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://adminlte.io/themes/v3/)
19:18:49	11967/11967	---MCZ	200	added ('OK')	text/css	etag:W/%226335841c-2ebf%22	https://adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://adminlte.io/themes/v3/)
19:18:49	12505/12505	---MCZ	200	added ('OK')	text/css	etag:W/%226335830e-30d9%22	https://adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://adminlte.io/themes/v3/)
19:18:49	613/613	---MCZ	200	added ('OK')	text/css	etag:W/%226335834a-265%22	https://adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	(from https://adminlte.io/themes/v3/)
19:18:50	1396747/1396747	---MCZ	200	added ('OK')	text/css	etag:W/%226335816d-15500b%22	https://adminlte.io/themes/v3/dist/css/adminlte.min.css?v=3.2.0	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/dist/css/adminlte.min2167.css	(from https://adminlte.io/themes/v3/)
19:18:50	20020/20020	---MCZ	200	added ('OK')	text/css	etag:W/%2263358383-4e34%22	https://adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://adminlte.io/themes/v3/)
19:18:50	6371/6371	---MCZ	200	added ('OK')	text/css	etag:W/%226335823b-1f85%22	https://adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	C:/Users/ngson/Downloads/adminstudent/adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	(from https://adminlte.io/themes/v3/)
